href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1323,english380,female,"['roanoke,', 'virginia,', 'usa']","english
(eng)","['spanish', 'french', '']","34,",0.0,naturalistic,['usa'],33.0,34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1324,english381,male,"['pike', 'county,', 'kentucky,', 'usa']","english
(eng)",['none'],"85,",0.0,naturalistic,['usa'],85.0,85
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1325,english382,male,"['arlington,', 'virginia,', 'usa']","english
(eng)",['none'],"34,",0.0,naturalistic,['usa'],29.0,34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1326,english383,female,"['washington,', 'district', 'of', 'columbia,', 'usa']","english
(eng)",['none'],"32,",0.0,naturalistic,['usa'],22.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1327,english384,male,"['williamson,', 'west', 'virginia,', 'usa']","english
(eng)",['none'],"57,",0.0,naturalistic,['usa'],57.0,57
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1328,english385,female,"['mcveigh,', 'kentucky,', 'usa']","english
(eng)",['none'],"77,",0.0,naturalistic,['usa'],77.0,77
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1330,english386,female,"['los', 'angeles,', 'california,', 'usa']","english
(eng)","['spanish', '']","56,",0.0,naturalistic,['usa'],56.0,56
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1331,english387,female,"['lancaster,', 'california,', 'usa']","english
(eng)","['spanish', '']","21,",0.0,naturalistic,['usa'],21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1332,english388,female,"['bluefield,', 'west', 'virginia,', 'usa']","english
(eng)",['none'],"70,",0.0,naturalistic,['usa'],70.0,70
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1333,english389,female,"['aldie,', 'virginia,', 'usa']","english
(eng)",['none'],"71,",0.0,naturalistic,['usa'],71.0,71
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1334,english390,male,"['milwaukee,', 'wisconsin,', 'usa']","english
(eng)","['mandarin', 'taiwanese', '']","74,",0.0,naturalistic,['usa'],67.0,74
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1335,english391,female,"['milton,', 'florida,', 'usa']","english
(eng)",['none'],"84,",0.0,naturalistic,['usa'],84.0,84
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1336,english392,male,"['warrenton,', 'virginia,', 'usa']","english
(eng)",['none'],"62,",0.0,naturalistic,['usa'],62.0,62
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1337,english393,female,"['washington,', 'district', 'of', 'columbia,', 'usa']","english
(eng)","['french', '']","58,",0.0,naturalistic,['usa'],58.0,58
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1339,english394,female,"['aiken,', 'south', 'carolina,', 'usa']","english
(eng)",['none'],"82,",0.0,naturalistic,['usa'],82.0,82
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1340,english395,male,"['alexandria,', 'virginia,', 'usa']","english
(eng)",['none'],"39,",0.0,naturalistic,['usa'],39.0,39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1341,english396,female,"['orange,', 'virginia,', 'usa']","english
(eng)",['none'],"48,",0.0,naturalistic,['usa'],48.0,48
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1342,english397,female,"['wadesboro,', 'north', 'carolina,', 'usa']","english
(eng)",['none'],"76,",0.0,naturalistic,['usa'],76.0,76
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1343,english398,female,"['salisbury,', 'north', 'carolina,', 'usa']","english
(eng)",['none'],"83,",0.0,naturalistic,['usa'],83.0,83
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1345,english399,female,"['la', 'grange,', 'georgia,', 'usa']","english
(eng)",['none'],"80,",0.0,naturalistic,['usa'],80.0,80
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1348,english400,female,"['shanklin,', 'isle', 'of', 'wight,', 'uk']","english
(eng)",['none'],"59,",0.0,naturalistic,['canada'],55.0,59
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1349,english401,male,"['lucerne,', 'switzerland']","english
(eng)",['none'],"26,",0.0,naturalistic,['australia'],26.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1350,english402,female,"['canberra,', 'australia']","english
(eng)",['none'],"26,",0.0,naturalistic,['australia'],26.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1351,english403,female,"['sydney,', 'australia']","english
(eng)",['none'],"29,",0.0,naturalistic,['australia'],29.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1352,english404,male,"['windsor,', 'australia']","english
(eng)","['italian', 'japanese', '']","29,",0.0,naturalistic,['australia'],29.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1353,english405,female,"['geelong,', 'australia']","english
(eng)","['german', 'indonesian', '']","32,",0.0,naturalistic,"['australia,', 'usa']",30.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1358,english406,female,"['pensacola,', 'florida,', 'usa']","english
(eng)",['none'],"24,",0.0,naturalistic,['usa'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1360,english407,male,"['windsor,', 'ontario,', 'canada']","english
(eng)","['maltese', '']","47,",0.0,naturalistic,['canada'],47.0,47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1361,english408,male,"['lynwood,', 'california,', 'usa']","english
(eng)","['spanish', '']","64,",0.0,naturalistic,['usa'],64.0,64
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1362,english409,female,"['maitland,', 'australia']","english
(eng)","['french', '']","60,",0.0,naturalistic,['australia'],60.0,60
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1363,english410,male,"['hamilton,', 'new', 'zealand']","english
(eng)",['none'],"35,",0.0,naturalistic,"['New', 'Zealand,', 'Australia']",35.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1371,english411,female,"['washington,', 'district', 'of', 'columbia,', 'usa']","english
(eng)","['spanish', '']","26,",0.0,naturalistic,['usa'],26.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1372,english412,female,"['washington,', 'district', 'of', 'columbia,', 'usa']","english
(eng)","['german', '']","31,",0.0,naturalistic,['usa'],25.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1373,english413,female,"['manchester,', 'england,', 'uk']","english
(eng)",['none'],"20,",0.0,naturalistic,['uk'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1374,english414,female,"['woonsocket,', 'rhode', 'island,', 'usa']","english
(eng)",['none'],"30,",0.0,naturalistic,['usa'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1375,english415,male,"['woonsocket,', 'rhode', 'island,', 'usa']","english
(eng)",['none'],"32,",0.0,naturalistic,['usa'],32.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1377,english416,male,"['sydney,', 'australia']","english
(eng)","['portuguese', '']","34,",0.0,naturalistic,"['australia,', 'usa']",20.0,34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1380,english417,female,"['cardiff,', 'wales,', 'uk']","english
(eng)","['german', '']","20,",0.0,naturalistic,['uk'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1384,english418,male,"['arlington,', 'virginia']","english
(eng)",['none'],"29,",0.0,naturalistic,['usa'],29.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1385,english419,male,"['youngstown,', 'ohio,', 'usa']","english
(eng)","['german', 'gaelic', '']","27,",0.0,naturalistic,['usa'],27.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1387,english420,male,"['auckland,', 'new', 'zealand']","english
(eng)",['none'],"21,",0.0,naturalistic,"['new', 'zealand']",21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1388,english421,male,"['landstuhl,', 'germany']","english
(eng)","['french', 'mandarin', '']","38,",0.0,naturalistic,['usa'],25.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1390,english422,male,"['rochester,', 'new', 'york,', 'usa']","english
(eng)","['spanish', '']","31,",0.0,naturalistic,['usa'],31.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1395,english423,female,"['baltimore,', 'maryland,', 'usa']","english
(eng)","['spanish', 'german', 'italian', '']","24,",0.0,naturalistic,['usa'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1409,english424,male,"['danville,', 'virginia,', 'usa']","english
(eng)",['none'],"75,",0.0,naturalistic,['usa'],75.0,75
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1410,english425,male,"['danville,', 'virginia,', 'usa']","english
(eng)",['none'],"31,",0.0,naturalistic,['usa'],31.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1411,english426,female,"['florence,', 'south', 'carolina,', 'usa']","english
(eng)",['none'],"30,",0.0,naturalistic,['usa'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1412,english427,female,"['hanover,', 'pennsylvania,', 'usa']","english
(eng)",['none'],"68,",0.0,naturalistic,['usa'],68.0,68
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1413,english428,female,"['kingstree,', 'south', 'carolina,', 'usa']","english
(eng)",['none'],"55,",0.0,naturalistic,['usa'],55.0,55
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1416,english429,female,"['philadelphia,', 'pennsylvania,', 'usa']","english
(eng)","['german', '']","19,",0.0,naturalistic,['usa'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1419,english430,female,"['melbourne,', 'australia']","english
(eng)",['none'],"23,",0.0,naturalistic,['australia'],23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1423,english431,female,"['green', 'bay,', 'wisconsin,', 'usa']","english
(eng)","['german', '']","23,",0.0,naturalistic,['usa'],23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1428,english432,female,"['dublin,', 'ireland']","english
(eng)","['french', 'spanish', '']","22,",0.0,naturalistic,['ireland'],21.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1430,english433,female,"['gladwin,', 'michigan,', 'usa']","english
(eng)",['none'],"32,",0.0,naturalistic,['usa'],32.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1469,english434,male,"['kansas', 'city,', 'kansas,', 'usa']","english
(eng)","['german', '']","24,",0.0,naturalistic,['usa'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1471,english435,female,"['palm', 'springs,', 'california,', 'usa']","english
(eng)","['japanese', '']","20,",0.0,naturalistic,['usa'],17.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1475,english436,female,"['freeport,', 'the', 'bahamas']","english
(eng)",['none'],"19,",0.0,naturalistic,"['the', 'bahamas']",19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1477,english437,male,"['cleveland,', 'ohio,', 'usa']","english
(eng)","['french', 'italian', '']","21,",0.0,naturalistic,['usa'],21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1492,english438,female,"['houston,', 'texas,', 'usa']","english
(eng)",['none'],"20,",0.0,naturalistic,['usa'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1493,english439,female,"['richmond,', 'british', 'columbia,', 'canada']","english
(eng)",['none'],"18,",0.0,naturalistic,['canada'],18.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1502,english440,female,"['glasgow,', 'scotland,', 'uk']","english
(eng)","['spanish', '']","22,",0.0,naturalistic,['scotland'],22.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1524,english441,female,"['oquawka,', 'illinois,', 'usa']","english
(eng)","['french', '']","19,",0.0,naturalistic,['usa'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1528,english442,male,"['salisbury', 'mills,', 'new', 'york,', 'usa']","english
(eng)","['french', 'spanish', '']","23,",0.0,naturalistic,['usa'],23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1530,english443,male,"['fort', 'collins,', 'colorado,', 'usa']","english
(eng)","['french', 'spanish', '']","31,",0.0,naturalistic,['usa'],31.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1531,english444,male,"['anniston,', 'alabama,', 'usa']","english
(eng)","['spanish', '']","24,",0.0,naturalistic,['usa'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1532,english445,male,"['san', 'francisco,', 'california,', 'usa']","english
(eng)","['mandarin', '']","60,",0.0,naturalistic,['usa'],59.0,60
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1533,english446,female,"['moorhead,', 'minnesota,', 'usa']","english
(eng)",['none'],"23,",0.0,naturalistic,['usa'],23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1534,english447,male,"['hartford,', 'connecticut,', 'usa']","english
(eng)","['french', '']","21,",0.0,naturalistic,['usa'],21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1536,english448,male,"['isle', 'of', 'arran,', 'scotland,', 'uk']","english
(eng)","['german', '']","20,",0.0,naturalistic,['uk'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1538,english449,male,"['barton,', 'vermont,', 'usa']","english
(eng)",['none'],"27,",0.0,naturalistic,['usa'],27.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1544,english450,male,"['windsor,', 'uk']","english
(eng)","['french', 'german', '']","26,",0.0,naturalistic,['uk'],26.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1546,english451,male,"['hazlehurst,', 'georgia,', 'usa']","english
(eng)","['russian', '']","44,",0.0,naturalistic,['usa'],44.0,44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1547,english452,male,"['newcastle,', 'australia']","english
(eng)",['none'],"24,",0.0,naturalistic,['australia'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1548,english453,female,"['chicago,', 'illinois,', 'usa']","english
(eng)","['french', '']","21,",0.0,naturalistic,['usa'],21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1550,english454,female,"['raleigh,', 'north', 'carolina,', 'usa']","english
(eng)","['spanish', '']","19,",0.0,naturalistic,['usa'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1552,english455,female,"['washington,', 'dc,', 'usa']","english
(eng)","['spanish', '']","29,",0.0,naturalistic,['usa'],29.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1554,english456,female,"['lancashire,', 'leyland,', 'uk']","english
(eng)",['none'],"37,",0.0,naturalistic,['uk'],37.0,37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1555,english457,male,"['syracuse,', 'new', 'york,', 'usa']","english
(eng)",['none'],"43,",0.0,naturalistic,['usa'],40.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1559,english458,female,"['reno,', 'nevada,', 'usa']","english
(eng)","['japanese', '']","22,",0.0,naturalistic,['usa'],22.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1560,english459,male,"['charlotte,', 'north', 'carolina,', 'usa']","english
(eng)","['french', 'german', '']","19,",0.0,naturalistic,['usa'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1561,english460,female,"['rutland,', 'england,', 'uk']","english
(eng)","['german', '']","19,",0.0,naturalistic,['uk'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1563,english461,female,"['poughkeepsie,', 'new', 'york,', 'usa']","english
(eng)",['none'],"44,",0.0,naturalistic,['usa'],44.0,44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1564,english462,male,"['paducah,', 'kentucky,', 'usa']","english
(eng)","['german', '']","20,",0.0,naturalistic,['usa'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1571,english463,female,"['brooklyn,', 'new', 'york,', 'usa']","english
(eng)","['french', 'spanish', '']","53,",0.0,naturalistic,['usa'],53.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1618,english464,male,"['ottawa,', 'ontario,', 'canada']","english
(eng)","['german', 'french', '']","27,",0.0,naturalistic,['canada'],24.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1635,english465,male,"['aylesbury,', 'buckinghamshire,', 'uk']","english
(eng)","['french', 'spanish', 'mandarin', '']","20,",0.0,naturalistic,['uk'],19.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1637,english466,male,"['portland,', 'maine,', 'usa']","english
(eng)",['none'],"18,",0.0,naturalistic,['usa'],18.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1639,english467,male,"['pozzuoli,', 'italy']","english
(eng)",['none'],"23,",1.0,naturalistic,['usa'],18.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1640,english468,male,"['myrtle', 'beach,', 'south', 'carolina,', 'usa']","english
(eng)","['german', 'greek,', 'ancient', '']","30,",0.0,naturalistic,['usa'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1641,english469,male,"['knoxville,', 'tennessee,', 'usa']","english
(eng)","['japanese', '']","22,",0.0,naturalistic,['usa'],21.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1642,english470,male,"['leighton', 'buzzard,', 'uk']","english
(eng)","['french', 'japanese', '']","21,",0.0,naturalistic,['uk'],20.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1648,english471,female,"['calgary,', 'alberta,', 'canada']","english
(eng)","['spanish', 'french', '']","26,",0.0,naturalistic,['canada'],24.5,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1649,english472,male,"['rota,', 'spain']","english
(eng)","['spanish', 'russian', '']","26,",0.0,naturalistic,['usa'],23.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1650,english473,male,"['nottingham,', 'uk']","english
(eng)",['none'],"20,",0.0,naturalistic,['uk'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1656,english474,female,"['rochester,', 'minnesota,', 'usa']","english
(eng)","['spanish', '']","33,",0.0,naturalistic,['usa'],33.0,33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1657,english475,female,"['ogden,', 'utah,', 'usa']","english
(eng)",['none'],"29,",0.0,naturalistic,['usa'],29.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1658,english476,female,"['manchester,', 'new', 'hampshire,', 'usa']","english
(eng)",['none'],"64,",0.0,naturalistic,['usa'],64.0,64
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1659,english477,female,"['san', 'diego,', 'california,', 'usa']","english
(eng)","['german', '']","31,",0.0,naturalistic,['usa'],27.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1661,english478,male,"['sydney,', 'nova', 'scotia,', 'canada']","english
(eng)",['none'],"19,",0.0,naturalistic,['canada'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1664,english479,female,"['new', 'york,', 'new', 'york,', 'usa']","english
(eng)",['none'],"64,",0.0,naturalistic,['usa'],64.0,64
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1665,english480,male,"['winston-salem,', 'north', 'carolina,', 'usa']","english
(eng)",['none'],"58,",0.0,naturalistic,['usa'],58.0,58
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1666,english481,female,"['stringtown,', 'oklahoma,', 'usa']","english
(eng)","['german', 'spanish', '']","88,",0.0,naturalistic,['usa'],82.0,88
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1667,english482,female,"['yeadon,', 'pennsylvania,', 'usa']","english
(eng)",['none'],"74,",0.0,naturalistic,['usa'],74.0,74
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1668,english483,male,"['boston,', 'massachusetts,', 'usa']","english
(eng)","['spanish', '']","19,",0.0,naturalistic,['usa'],19.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1672,english484,male,"['dublin,', 'ireland']","english
(eng)","['irish', 'french', 'japanese', 'swedish', 'spanish', '']","24,",0.0,naturalistic,['ireland'],24.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1674,english485,male,"['cromwell,', 'connecticut,', 'usa']","english
(eng)","['french', '']","20,",0.0,naturalistic,['usa'],20.0,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1683,english486,female,"['corentyne,', 'guyana']","english
(eng)",['none'],"53,",0.0,naturalistic,"['guyana,', 'usa']",53.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1688,english487,female,"['london,', 'uk']","english
(eng)","['french', '']","22,",0.0,naturalistic,['uk'],22.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1692,english488,female,"['irvine,', 'scotland,', 'uk']","english
(eng)",['none'],"35,",0.0,naturalistic,"['uk,', 'usa']",35.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1694,english489,female,"['kingston,', 'jamaica']","english
(eng)",['none'],"46,",0.0,naturalistic,"['jamaica,', 'usa']",46.0,46
